config,n,truncated,truncated_frac,completion,acc_answered,acc_strict,ci_lo,ci_hi,capped_frac
clean,500,19,0.038,0.962,0.9522,0.916,0.89,0.94,0.042
typo25_real10,500,46,0.092,0.908,0.9075,0.824,0.792,0.856,0.1
typo25_real40,500,42,0.084,0.916,0.9083,0.832,0.8,0.864,0.09
typo25_real70,500,46,0.092,0.908,0.8943,0.812,0.776,0.848,0.104
typo50_real10,500,54,0.108,0.892,0.843,0.752,0.714,0.788,0.118
typo50_real40,500,55,0.11,0.89,0.8247,0.734,0.696,0.772,0.12
typo50_real70,500,67,0.134,0.866,0.7898,0.684,0.642,0.724,0.152
typo75_real10,500,88,0.176,0.824,0.7816,0.644,0.602,0.686,0.188
typo75_real40,500,83,0.166,0.834,0.7626,0.636,0.594,0.68,0.17
typo75_real70,500,108,0.216,0.784,0.7143,0.56,0.514,0.604,0.23
